zaman,kisi_id,ihlal_turu,sure_sn,ear_degeri,frame_yolu
2026-03-07 12:33:56,0,hareketsiz,2.01,0.264,kayitlar\2026-03-07\ihlal_0_12-33-56.jpg
2026-03-07 12:33:59,0,hareketsiz,2.01,0.266,kayitlar\2026-03-07\ihlal_0_12-33-59.jpg
2026-03-07 12:34:08,0,hareketsiz,2.03,0.257,kayitlar\2026-03-07\ihlal_0_12-34-08.jpg
2026-03-07 12:34:16,0,kritik_hareketsiz,10.01,0.250,kayitlar\arsiv\ihlal_0_12-34-16.jpg
2026-03-07 12:34:21,0,hareketsiz,2.02,0.249,kayitlar\2026-03-07\ihlal_0_12-34-21.jpg
2026-03-07 12:34:28,0,hareketsiz,2.03,0.248,kayitlar\2026-03-07\ihlal_0_12-34-28.jpg
