zaman              , kisi_id, ihlal_turu, sure_sn, ear_degeri, frame_yolu
2026-03-08 14:04:15,       0, hareketsiz,    2.03,      0.239, kayitlar\2026-03-08\ihlal_0_14-04-15.jpg
2026-03-08 14:04:22,       0, hareketsiz,    2.03,      0.287, kayitlar\2026-03-08\ihlal_0_14-04-22.jpg
2026-03-08 14:04:30,       0, hareketsiz,    2.00,      0.219, kayitlar\2026-03-08\ihlal_0_14-04-30.jpg
2026-03-08 14:04:38,       0, hareketsiz,    2.02,      0.219, kayitlar\2026-03-08\ihlal_0_14-04-38.jpg
2026-03-08 14:04:43,       0, hareketsiz,    2.01,      0.244, kayitlar\2026-03-08\ihlal_0_14-04-43.jpg
2026-03-09 00:32:13,       0, hareketsiz,    2.03,      0.240, kayitlar\2026-03-09\ihlal_0_00-32-13.jpg
2026-03-09 00:32:23,       0, hareketsiz,    2.03,      0.360, kayitlar\2026-03-09\ihlal_0_00-32-23.jpg
